numero_processo,numero_cnj,classe_codigo,classe_nome,assuntos,data_ajuizamento,ultima_atualizacao,qtd_movimentos,grau,formato,link_consulta
00158365519734047099,0015836-55.1973.4.04.7099,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,1973-12-17,2021-07-25T00:13:55.238000Z,15,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00158365519734047099&selOrigem=TRF&chkMostrarBaixados=1
00563357219824047000,0056335-72.1982.4.04.7000,283,Ação Penal - Procedimento Ordinário,Falsidade ideológica ,1982-04-28,2022-09-01T03:12:51.159000Z,12,G1,Físico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00563357219824047000&selOrigem=TRF&chkMostrarBaixados=1
00711648719844047000,0071164-87.1984.4.04.7000,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,1984-07-31,2021-07-25T11:14:22.727000Z,66,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00711648719844047000&selOrigem=TRF&chkMostrarBaixados=1
50728856020194047000,5072885-60.2019.4.04.7000,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,1984-08-19,2021-09-02T05:43:36.208000Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50728856020194047000&selOrigem=TRF&chkMostrarBaixados=1
00722387919844047000,0072238-79.1984.4.04.7000,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,1984-08-19,2021-09-06T19:08:22.054000Z,91,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00722387919844047000&selOrigem=TRF&chkMostrarBaixados=1
50267940920194047000,5026794-09.2019.4.04.7000,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,1986-07-24,2021-09-02T09:46:55.190000Z,6,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50267940920194047000&selOrigem=TRF&chkMostrarBaixados=1
00858796619864047000,0085879-66.1986.4.04.7000,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,1986-08-13,2021-07-25T16:40:10.751000Z,37,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00858796619864047000&selOrigem=TRF&chkMostrarBaixados=1
00858952019864047000,0085895-20.1986.4.04.7000,279,Inquérito Policial,Concussão ; Peculato,1986-08-14,2021-09-06T18:40:10.411000Z,23,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00858952019864047000&selOrigem=TRF&chkMostrarBaixados=1
00860762119864047000,0086076-21.1986.4.04.7000,283,Ação Penal - Procedimento Ordinário,"Incêndio; Invasão de estabelecimento industrial, comercial ou agrícola. Sabotagem",1986-08-20,2022-09-01T03:38:15.377000Z,55,G1,Físico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00860762119864047000&selOrigem=TRF&chkMostrarBaixados=1
00878135919864047000,0087813-59.1986.4.04.7000,283,Ação Penal - Procedimento Ordinário,Falsidade ideológica ,1986-10-17,2022-09-01T03:37:20.814000Z,49,G1,Físico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00878135919864047000&selOrigem=TRF&chkMostrarBaixados=1
50226655320224047000,5022665-53.2022.4.04.7000,279,Inquérito Policial,Contrabando ou descaminho ,1986-11-28,2022-08-03T10:02:42.885000Z,8,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50226655320224047000&selOrigem=TRF&chkMostrarBaixados=1
00924874619874047000,0092487-46.1987.4.04.7000,293,Crimes Ambientais,Caça ,1987-05-25,2023-03-01T03:10:25.566000Z,20,G1,Físico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00924874619874047000&selOrigem=TRF&chkMostrarBaixados=1
50325196620254047000,5032519-66.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,1987-06-26,2025-07-16T15:35:11.180Z,6,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50325196620254047000&selOrigem=TRF&chkMostrarBaixados=1
00963588419874047000,0096358-84.1987.4.04.7000,279,Inquérito Policial,Apropriação indébita Previdenciária ,1987-08-19,2021-09-06T18:40:56.474000Z,32,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00963588419874047000&selOrigem=TRF&chkMostrarBaixados=1
00986183719874047000,0098618-37.1987.4.04.7000,283,Ação Penal - Procedimento Ordinário,Peculato,1987-10-07,2022-05-03T16:34:03.251000Z,41,G1,Físico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00986183719874047000&selOrigem=TRF&chkMostrarBaixados=1
01055778719884047000,0105577-87.1988.4.04.7000,283,Ação Penal - Procedimento Ordinário,Falsificação de documento público; Uso de documento falso ,1988-08-31,2022-09-01T03:37:25.914000Z,34,G1,Físico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=01055778719884047000&selOrigem=TRF&chkMostrarBaixados=1
