numero_processo,numero_cnj,classe_codigo,classe_nome,orgao_julgador,data_ajuizamento,ultima_atualizacao,qtd_movimentos,grau,link_consulta
00001816720014047000,0000181-67.2001.4.04.7000,417,Apelação Criminal,8ª Turma,2018-04-12,2022-05-12T17:27:49.218000Z,24,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00001816720014047000&selOrigem=TRF&chkMostrarBaixados=1
00007038420074047000,0000703-84.2007.4.04.7000,417,Apelação Criminal,7ª Turma,2013-01-28,2022-05-18T05:30:58.088000Z,66,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00007038420074047000&selOrigem=TRF&chkMostrarBaixados=1
00018622820084047000,0001862-28.2008.4.04.7000,417,Apelação Criminal,8ª Turma,2013-07-31,2022-05-18T11:36:55.735000Z,103,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00018622820084047000&selOrigem=TRF&chkMostrarBaixados=1
00018931920064047000,0001893-19.2006.4.04.7000,417,Apelação Criminal,7ª Turma,2011-07-28,2022-05-12T22:22:07.006000Z,70,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00018931920064047000&selOrigem=TRF&chkMostrarBaixados=1
00022503320054047000,0002250-33.2005.4.04.7000,417,Apelação Criminal,8ª Turma,2009-05-05,2023-09-01T04:18:00.984000Z,72,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00022503320054047000&selOrigem=TRF&chkMostrarBaixados=1
00043099120054047000,0004309-91.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2008-10-23,2022-05-11T10:31:53.125000Z,88,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00043099120054047000&selOrigem=TRF&chkMostrarBaixados=1
00043168320054047000,0004316-83.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2008-09-08,2022-05-10T14:28:50.958000Z,62,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00043168320054047000&selOrigem=TRF&chkMostrarBaixados=1
00050382020054047000,0005038-20.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2012-02-10,2022-05-09T19:28:24.364000Z,126,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00050382020054047000&selOrigem=TRF&chkMostrarBaixados=1
00058788820094047000,0005878-88.2009.4.04.7000,417,Apelação Criminal,8ª Turma,2018-05-09,2022-05-11T00:51:24.982000Z,27,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00058788820094047000&selOrigem=TRF&chkMostrarBaixados=1
00062039720084047000,0006203-97.2008.4.04.7000,417,Apelação Criminal,7ª Turma,2015-07-07,2022-05-18T05:34:21.692000Z,64,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00062039720084047000&selOrigem=TRF&chkMostrarBaixados=1
00075666120044047000,0007566-61.2004.4.04.7000,417,Apelação Criminal,7ª Turma,2007-01-24,2022-05-07T18:23:38.201000Z,122,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00075666120044047000&selOrigem=TRF&chkMostrarBaixados=1
00075796020044047000,0007579-60.2004.4.04.7000,417,Apelação Criminal,7ª Turma,2017-04-27,2022-05-10T16:05:22.427000Z,40,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00075796020044047000&selOrigem=TRF&chkMostrarBaixados=1
00081433920044047000,0008143-39.2004.4.04.7000,417,Apelação Criminal,8ª Turma,2007-03-28,2022-05-10T19:25:36.002000Z,254,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00081433920044047000&selOrigem=TRF&chkMostrarBaixados=1
00089035120054047000,0008903-51.2005.4.04.7000,417,Apelação Criminal,8ª Turma,2008-04-24,2022-05-06T18:56:43.165000Z,55,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00089035120054047000&selOrigem=TRF&chkMostrarBaixados=1
00089251220054047000,0008925-12.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2010-03-26,2022-05-18T06:43:58.492000Z,165,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00089251220054047000&selOrigem=TRF&chkMostrarBaixados=1
00090377320084047000,0009037-73.2008.4.04.7000,417,Apelação Criminal,8ª Turma,2016-11-18,2022-05-11T11:33:36.130000Z,39,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00090377320084047000&selOrigem=TRF&chkMostrarBaixados=1
00100802120034047000,0010080-21.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2009-11-25,2022-05-18T13:20:20.706000Z,80,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00100802120034047000&selOrigem=TRF&chkMostrarBaixados=1
00107895620034047000,0010789-56.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2016-08-18,2022-05-11T01:40:32.679000Z,46,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00107895620034047000&selOrigem=TRF&chkMostrarBaixados=1
00116021020084047000,0011602-10.2008.4.04.7000,417,Apelação Criminal,7ª Turma,2012-10-03,2021-07-24T07:49:07.059000Z,221,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00116021020084047000&selOrigem=TRF&chkMostrarBaixados=1
00118949220084047000,0011894-92.2008.4.04.7000,417,Apelação Criminal,8ª Turma,2012-11-08,2022-05-18T07:23:43.703000Z,69,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00118949220084047000&selOrigem=TRF&chkMostrarBaixados=1
00122060520074047000,0012206-05.2007.4.04.7000,417,Apelação Criminal,8ª Turma,2008-09-18,2022-05-11T06:38:12.774000Z,85,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00122060520074047000&selOrigem=TRF&chkMostrarBaixados=1
00122190920044047000,0012219-09.2004.4.04.7000,417,Apelação Criminal,8ª Turma,2009-02-17,2022-05-11T04:38:49.775000Z,148,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00122190920044047000&selOrigem=TRF&chkMostrarBaixados=1
00123172320064047000,0012317-23.2006.4.04.7000,417,Apelação Criminal,7ª Turma,2017-12-15,2022-05-11T02:11:48.745000Z,99,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00123172320064047000&selOrigem=TRF&chkMostrarBaixados=1
00127827120024047000,0012782-71.2002.4.04.7000,417,Apelação Criminal,8ª Turma,2014-06-26,2022-05-10T15:34:20.894000Z,74,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00127827120024047000&selOrigem=TRF&chkMostrarBaixados=1
00128366120074047000,0012836-61.2007.4.04.7000,417,Apelação Criminal,7ª Turma,2012-04-10,2022-05-12T03:52:31.196000Z,101,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00128366120074047000&selOrigem=TRF&chkMostrarBaixados=1
00132229620044047000,0013222-96.2004.4.04.7000,417,Apelação Criminal,7ª Turma,2011-01-13,2022-05-11T16:34:13.629000Z,218,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00132229620044047000&selOrigem=TRF&chkMostrarBaixados=1
00145699120094047000,0014569-91.2009.4.04.7000,417,Apelação Criminal,8ª Turma,2017-07-03,2022-05-12T12:29:58.578000Z,29,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00145699120094047000&selOrigem=TRF&chkMostrarBaixados=1
00148251520014047000,0014825-15.2001.4.04.7000,417,Apelação Criminal,8ª Turma,2011-12-15,2022-05-12T05:40:57.694000Z,102,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00148251520014047000&selOrigem=TRF&chkMostrarBaixados=1
00151045420084047000,0015104-54.2008.4.04.7000,417,Apelação Criminal,8ª Turma,2011-11-22,2022-05-10T16:43:48.290000Z,57,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00151045420084047000&selOrigem=TRF&chkMostrarBaixados=1
